Pk,Tm,Player,College,Player_Link,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,DAL,Cooper Flagg,Duke,https://www.basketball-reference.com/players/f/flaggco01.html,.481,.385,.840,30.7,19.2,7.5,4.2
2,SAS,Dylan Harper,Rutgers University,https://www.basketball-reference.com/players/h/harpedy01.html,.484,.333,.750,32.6,19.4,4.6,4.0
3,PHI,VJ Edgecombe,Baylor,https://www.basketball-reference.com/players/e/edgecvj01.html,.436,.340,.782,32.7,15.0,5.6,3.2
4,CHO,Kon Knueppel,Duke,https://www.basketball-reference.com/players/k/knuepko01.html,.479,.406,.914,30.5,14.4,4.0,2.7
5,UTA,Ace Bailey,Rutgers University,https://www.basketball-reference.com/players/b/baileac01.html,.460,.346,.692,33.3,17.6,7.2,1.3
6,WAS,Tre Johnson,Texas,https://www.basketball-reference.com/players/j/johnstr03.html,.427,.397,.871,34.7,19.9,3.1,2.7
7,NOP,Jeremiah Fears,Oklahoma,https://www.basketball-reference.com/players/f/fearsje01.html,.434,.284,.851,30.2,17.1,4.1,4.1
8,BRK,Egor Demin,BYU,https://www.basketball-reference.com/players/d/demineg01.html,.412,.273,.695,27.5,10.6,3.9,5.5
9,TOR,Collin Murray-Boyles,South Carolina,https://www.basketball-reference.com/players/m/murraco01.html,.590,.231,.695,27.0,13.8,7.1,2.1
10,HOU,Khaman Maluach,Duke,https://www.basketball-reference.com/players/m/maluakh01.html,.712,.250,.766,21.2,8.6,6.6,0.5
11,POR,Cedric Coward,Washington State,https://www.basketball-reference.com/players/c/cowarce01.html,.595,.388,.832,26.5,11.8,6.2,1.9
12,CHI,Noa Essengue,,https://www.basketball-reference.com/players/e/essenno01.html,,,,,,,
13,ATL,Derik Queen,Maryland,https://www.basketball-reference.com/players/q/queende01.html,.526,.200,.766,30.4,16.5,9.0,1.9
14,SAS,Carter Bryant,Arizona,https://www.basketball-reference.com/players/b/bryanca01.html,.460,.371,.695,19.3,6.5,4.1,1.0
15,OKC,Thomas Sorber,Georgetown,https://www.basketball-reference.com/players/s/sorbeth01.html,.532,.162,.724,31.3,14.5,8.5,2.4
16,MEM,Yang Hansen,,https://www.basketball-reference.com/players/y/yangha01.html,,,,,,,
17,MIN,Joan Beringer,,https://www.basketball-reference.com/players/b/berinjo01.html,,,,,,,
18,WAS,Walter Clayton,Florida,https://www.basketball-reference.com/players/c/claytwa01.html,.444,.386,.879,27.8,15.2,3.4,2.9
19,BRK,Nolan Traoré,,https://www.basketball-reference.com/players/t/traorno01.html,,,,,,,
20,MIA,Kasparas Jakucionis,Illinois,https://www.basketball-reference.com/players/j/jakucka01.html,.440,.318,.845,31.8,15.0,5.7,4.7
21,UTA,Will Riley,Illinois,https://www.basketball-reference.com/players/r/rileywi01.html,.432,.326,.724,25.7,12.6,4.1,2.2
22,ATL,Drake Powell,UNC,https://www.basketball-reference.com/players/p/poweldr01.html,.483,.379,.648,25.6,7.4,3.4,1.1
23,IND,Asa Newell,Georgia,https://www.basketball-reference.com/players/n/newelas01.html,.543,.292,.748,29.0,15.4,6.9,0.9
